Item #,Quantity On Hand,Item,Item Description,,Color,Size,Date of Last Use
CUP2052   ,4,POLO,LADIES' SPORT TEK: OASIS GREEN: FESJC LOGO: MD,FESJC,OASIS GREEN,MD,6/12/15
CUP2053   ,12,POLO,LADIES' SPORT TEK: OASIS GREEN: FESJC LOGO: LG,FESJC,OASIS GREEN,LG,2/8/16
CUP2054   ,2,POLO,LADIES' SPORT TEK: OASIS GREEN: FESJC LOGO: XL,FESJC,OASIS GREEN,XL,6/25/15
CUP2055   ,3,POLO,LADIES' SPORT TEK: OASIS GREEN: FESJC LOGO: 2X,FESJC,OASIS GREEN,2X,7/5/13
CUP2341   ,2,POLO,"WOMEN'S PURPLE, FEDEX ST. JUDE CLASSIC/LEFT CHEST, SM",FESJC,PURPLE,SM,7/2/15
CUP2342   ,8,POLO,"WOMEN'S PURPLE, FEDEX ST. JUDE CLASSIC/LEFT CHEST, MD",FESJC,PURPLE,MD,7/2/15
CUP2343   ,22,POLO,"WOMEN'S PURPLE, FEDEX ST. JUDE CLASSIC/LEFT CHEST, LG",FESJC,PURPLE,LG,7/2/15
CUP2344   ,8,POLO,"WOMEN'S PURPLE, FEDEX ST. JUDE CLASSIC/LEFT CHEST, XL",FESJC,PURPLE,XL,7/2/15
CUP2345   ,15,POLO,"WOMEN'S PURPLE, FEDEX ST. JUDE CLASSIC/LEFT CHEST, 2XL",FESJC,PURPLE,2XL,7/2/15
CUP2346   ,1,POLO,"WOMEN'S PURPLE, FEDEX ST. JUDE CLASSIC/LEFT CHEST, 3XL",FESJC,PURPLE,3XL,7/2/15
CUP2347   ,1,POLO,"WOMEN'S PURPLE, FEDEX ST. JUDE CLASSIC/LEFT CHEST, 4XL",FESJC,PURPLE,4XL,7/2/15
CUP2351   ,5,POLO,"MEN'S PURPLE, FEDEX ST. JUDE CLASSIC/LEFT CHEST, SM",FESJC,PURPLE,SM,7/2/15
CUP2352   ,6,POLO,"MEN'S PURPLE, FEDEX ST. JUDE CLASSIC/LEFT CHEST, MD",FESJC,PURPLE,MD,7/2/15
CUP2353   ,7,POLO,"MEN'S PURPLE, FEDEX ST. JUDE CLASSIC/LEFT CHEST, LG",FESJC,PURPLE,LG,2/29/16
CUP2354   ,10,POLO,"MEN'S PURPLE, FEDEX ST. JUDE CLASSIC/LEFT CHEST, XL",FESJC,PURPLE,XL,2/29/16
CUP2355   ,16,POLO,"MEN'S PURPLE, FEDEX ST. JUDE CLASSIC/LEFT CHEST, 2XL",FESJC,PURPLE,2XL,7/2/15
CUP2356   ,6,POLO,"MEN'S PURPLE, FEDEX ST. JUDE CLASSIC/LEFT CHEST, 3XL",FESJC,PURPLE,3XL,7/2/15
CUP2598   ,227,POUCH,"RUME, SMALL W/ ZIPPER, WHITE W/ FULL COLOR FESJC LOGO, CORD ORGANIZERS INSIDE",FESJC,,,8/24/16
CUP2184   ,787,SCREEN CLEANER,"DIGICLEAN XTRA, FEDEXCUP ON THANK YOU CARD",FESJC,,,7/29/15
CUP2366   ,6,SIGNAGE,HARDWARE ONLY: FOR 70 X 31 VINYL BANNERS,FESJC,,,7/15/15
